target,anomaly,corr_with_residual
total,anom_temperature_2m_mean,0.31880700493548675
total,anom_temperature_2m_max,0.4452039272982803
total,anom_temperature_2m_min,0.15045626725597708
total,anom_precipitation_sum,-0.5185402862084725
total,anom_precipitation_hours,-0.6495810392084462
total,anom_windspeed_10m_max,-0.26190535296917367
member,anom_temperature_2m_mean,0.2689333705336281
member,anom_temperature_2m_max,0.3843845205511399
member,anom_temperature_2m_min,0.1191216763482863
member,anom_precipitation_sum,-0.512294023975912
member,anom_precipitation_hours,-0.6337883302701282
member,anom_windspeed_10m_max,-0.23273432498745605
casual,anom_temperature_2m_mean,0.36513955332987025
casual,anom_temperature_2m_max,0.48900568554373314
casual,anom_temperature_2m_min,0.19078357333779308
casual,anom_precipitation_sum,-0.41662958395328004
casual,anom_precipitation_hours,-0.5407813802609579
casual,anom_windspeed_10m_max,-0.27202816079297293
