target,feature,group,std_coef,abs
casual,cal_cos_1,calendar,-4400.539330499458,4400.539330499458
casual,cal_dow_5,calendar,2806.2761752738847,2806.2761752738847
casual,anom_precipitation_hours,weather_anom,-2274.181744760086,2274.181744760086
casual,anom_temperature_2m_max,weather_anom,1900.5752956342476,1900.5752956342476
casual,lag_y_1,lag,1688.1039722845926,1688.1039722845926
casual,cal_sin_1,calendar,-1568.8678344769396,1568.8678344769396
casual,cal_dow_6,calendar,1548.4985608803545,1548.4985608803545
casual,lag_y_7,lag,1419.5698751565888,1419.5698751565888
casual,cal_dow_4,calendar,1132.5593916812368,1132.5593916812368
casual,lag_y_14,lag,1097.96610135813,1097.96610135813
casual,anom_windspeed_10m_max,weather_anom,-759.1779584569945,759.1779584569945
casual,cal_cos_2,calendar,-716.9247682839073,716.9247682839073
casual,anom_temperature_2m_mean,weather_anom,702.0272827437147,702.0272827437147
casual,cal_is_holiday,calendar,700.3813701710637,700.3813701710637
casual,cal_trend,calendar,-623.7592692622854,623.7592692622854
casual,cal_dow_2,calendar,411.82223838231494,411.82223838231494
casual,cal_dow_3,calendar,408.1565270595547,408.1565270595547
casual,cal_dow_1,calendar,361.00050210439076,361.00050210439076
casual,anom_precipitation_sum,weather_anom,-289.78047078905183,289.78047078905183
casual,anom_temperature_2m_min,weather_anom,-245.71266457275715,245.71266457275715
casual,cal_sin_2,calendar,-203.72413672275457,203.72413672275457
casual,cal_cos_3,calendar,92.47499572659603,92.47499572659603
casual,lag_roll_mean_7,lag,-45.09596634646732,45.09596634646732
casual,cal_sin_3,calendar,30.286941723608038,30.286941723608038
member,cal_cos_1,calendar,-10133.654518004223,10133.654518004223
member,anom_precipitation_hours,weather_anom,-6304.257896783365,6304.257896783365
member,cal_dow_6,calendar,-4904.323603046079,4904.323603046079
member,cal_sin_1,calendar,-4573.789531360515,4573.789531360515
member,lag_roll_mean_7,lag,3634.903934153641,3634.903934153641
member,cal_dow_5,calendar,-3513.86727149543,3513.86727149543
member,cal_trend,calendar,3454.2829449152814,3454.2829449152814
member,lag_y_1,lag,3178.984194482924,3178.984194482924
member,cal_is_holiday,calendar,-2214.075626758947,2214.075626758947
member,cal_cos_2,calendar,-1815.510823734954,1815.510823734954
member,cal_dow_2,calendar,1814.5952131961676,1814.5952131961676
member,anom_temperature_2m_max,weather_anom,1721.344531165203,1721.344531165203
member,anom_temperature_2m_mean,weather_anom,1466.5915300694032,1466.5915300694032
member,cal_dow_1,calendar,1427.3271566954336,1427.3271566954336
member,anom_temperature_2m_min,weather_anom,1244.7578425382762,1244.7578425382762
member,cal_sin_3,calendar,1202.0928030001542,1202.0928030001542
member,anom_precipitation_sum,weather_anom,-1164.4893042533458,1164.4893042533458
member,anom_windspeed_10m_max,weather_anom,-1019.5869984485144,1019.5869984485144
member,cal_sin_2,calendar,-963.5842826309408,963.5842826309408
member,cal_dow_3,calendar,922.3110261178881,922.3110261178881
member,lag_y_7,lag,-837.8013055350712,837.8013055350712
member,lag_y_14,lag,729.0901044256971,729.0901044256971
member,cal_cos_3,calendar,-695.2823757828091,695.2823757828091
member,cal_dow_4,calendar,-24.54098199636428,24.54098199636428
total,cal_cos_1,calendar,-16566.350873488467,16566.350873488467
total,anom_precipitation_hours,weather_anom,-8715.416457360774,8715.416457360774
total,cal_sin_1,calendar,-7397.17407897237,7397.17407897237
total,lag_roll_mean_7,lag,4433.065792574314,4433.065792574314
total,anom_temperature_2m_max,weather_anom,3408.366219663556,3408.366219663556
total,cal_trend,calendar,3177.1099673768986,3177.1099673768986
total,lag_y_1,lag,2913.7008916353807,2913.7008916353807
total,cal_cos_2,calendar,-2859.412527248598,2859.412527248598
total,cal_dow_6,calendar,-2733.857362205189,2733.857362205189
total,anom_temperature_2m_mean,weather_anom,2611.311849568796,2611.311849568796
total,cal_dow_2,calendar,2357.0718126564752,2357.0718126564752
total,anom_windspeed_10m_max,weather_anom,-1882.3688525993257,1882.3688525993257
total,cal_dow_1,calendar,1734.0863116564706,1734.0863116564706
total,cal_is_holiday,calendar,-1599.3942196822618,1599.3942196822618
total,cal_dow_3,calendar,1575.9157213965445,1575.9157213965445
total,cal_dow_4,calendar,1549.0227842806125,1549.0227842806125
total,anom_precipitation_sum,weather_anom,-1420.2412209960585,1420.2412209960585
total,cal_sin_2,calendar,-1361.4499278447047,1361.4499278447047
total,cal_sin_3,calendar,1354.068931939115,1354.068931939115
total,anom_temperature_2m_min,weather_anom,959.1715688544464,959.1715688544464
total,lag_y_7,lag,-853.0366779473106,853.0366779473106
total,lag_y_14,lag,695.3296529171348,695.3296529171348
total,cal_cos_3,calendar,-689.3653520451053,689.3653520451053
total,cal_dow_5,calendar,196.0883496412207,196.0883496412207
