condition,model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
A,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
A,Ridge,381.326,489.586,0.549,424.989,556.075,0.62
A,XGBoost,307.403,408.777,0.704,346.123,461.178,0.736
B,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
B,Ridge,381.456,482.799,0.559,424.516,554.444,0.622
B,XGBoost,299.482,396.44,0.724,355.222,472.777,0.726
C,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
C,Ridge,391.505,501.314,0.524,422.943,553.702,0.625
C,XGBoost,313.052,411.973,0.697,349.181,466.79,0.737
Cprime,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
Cprime,Ridge,380.996,487.885,0.554,425.53,557.113,0.621
Cprime,XGBoost,303.617,398.434,0.72,341.1,458.031,0.744
D,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
D,Ridge,389.846,492.526,0.54,422.533,552.397,0.626
D,XGBoost,303.742,399.881,0.724,354.325,473.115,0.729
E,SeasonalNaive,429.721,579.52,0.454,598.57,912.504,0.103
E,Ridge,381.073,489.4,0.549,424.874,556.12,0.62
E,XGBoost,309.793,408.921,0.703,342.509,456.234,0.74
